"Name","MODEL_MAP_FLAG","ATTRACTIVE_FIELD","DAMPING","MAXITER","UPDATES","ACC_VarState_training","L1_Prob_val","L1_LogScore_training","RMSE_LogScore_training","ACC_GraphState_training","RMSE_Prob_val","CrossEntropy_Prob_val","ACC_VarState_val","RMSE_DiffLog_val","RMSE_LogScore_val","RMSE_Prob_training","CrossEntropy_Prob_training","L1_DiffLog_val","L1_LogScore_val","RMSE_DiffLog_training","L1_Prob_training","ACC_GraphState_val","L1_DiffLog_training"
"desert-salad-64","false","true","0.001","5","SEQRND","0.7","0.2795732624620199","19.627801280122576","24.299590522060218","0.16","0.3321465840131223","Infinity","0.7358","7.181511810585435","29.2243146657269","0.3180848845728512","Infinity","4.800158209362999","20.987725754071647","6.348945283205268","0.2514700819015503","0.22","3.874291763510276"
"hardy-pine-241","true","true","0.7","10","PARALL","0.7032","0.10275570567548276","35.68003004545596","45.76398315653878","0.04","0.14451391780623904","0.7019024559378624","0.7334","0.7038694381054847","45.55911487475317","0.1326209966182995","0.7120096102356911","0.48413163393735886","37.02846161683264","0.6393313661676209","0.0935764598697424","0.02","0.4277837019731523"
"desert-durian-329","false","true","0.001","20","SEQRND","0.7168","0.33789527963995936","5.752136795554619","11.122388430928758","0.54","0.3812489779387995","Infinity","0.7322","9.98144120898098","12.60236402701281","0.378903586935751","Infinity","7.696014402984828","7.28115721116641","9.233417070044544","0.33020733363926413","0.52","6.858319508087915"
"smart-water-239","false","true","0.3","10000","SEQRND","0.7718","0.33615680546760557","4.364170848607408","9.083047805177673","0.62","0.372287606164877","Infinity","0.7312","10.140642996613431","9.325452693377333","0.3682392174138539","Infinity","7.970469377351552","4.004287549044434","9.340648845290504","0.3256276013299823","0.6","6.990209871364851"
"zesty-feather-295","false","true","0.001","10","PARALL","0.7174","0.27065738380849363","94.11795082065692","158.2076774228721","0.06","0.32235378913087165","Infinity","0.7308","7.03681163979546","117.92824079397856","0.3092494461331975","Infinity","4.662185534606501","87.82967496232723","6.128176448392203","0.24434327032715084","0.08","3.701345874380321"
"fancy-morning-289","false","true","0","10","PARALL","0.7172","0.27100421283096077","94.7015658130103","158.72530534456652","0.06","0.32276267219146076","Infinity","0.7306","7.0431712936458295","118.45403908942586","0.30945969890114056","Infinity","4.668731613802165","88.13325697011267","6.137464856648626","0.24455203565359115","0.08","3.708812552430015"
"polished-sound-296","false","true","0.3","5","SEQRND","0.6974","0.1652050384387374","30.903285115703625","36.30522873382856","0.04","0.2157877501709944","Infinity","0.723","2.5764911104888304","37.12797262676645","0.20921625557532855","0.9307317931175232","1.4131334052603692","29.225964276250565","2.1342411430018124","0.14798557046502828","0.1","1.0937632028412074"
"clean-energy-363","true","true","0.9","20","PARALL","0.6876","0.0847272679373622","39.63142297522275","48.610516292578886","0.02","0.12014250621179612","0.6815444526195527","0.7204","0.5327801370420455","52.28584834187226","0.1028201361378646","0.6907920276641846","0.3703321102347225","42.88729225352241","0.44226853011558376","0.0715225195735693","0","0.302869218276022"
"warm-meadow-24","false","true","0.7","10","SEQRND","0.6954","0.10757896378785373","32.99466927380853","37.356928985382794","0.02","0.1486153288518415","0.7187637440979481","0.7124","0.8929822325203793","34.83492157389959","0.14003932392630175","0.7306037560582161","0.5685575198508799","30.02513004610533","0.8257534861811068","0.09508917700946332","0.06","0.4707376613208093"
"wise-oath-66","false","true","0.5","10","SEQFIX","0.7172","0.2742523239314556","14.06240650411195","18.684825522815153","0.28","0.3238604677793826","Infinity","0.7116","8.181632783356608","20.229141588524428","0.3215989034236674","Infinity","5.566662314925343","13.42472945190672","7.185367098575777","0.25651121394634246","0.34","4.596484394348785"
